cohort,endpoint,ICCsite_full,ICCgen_full,combat_excluded,ICCsite_drop,ICCgen_drop,ICCsite_combat,ICCgen_combat,delta_combat,delta_dropset
BLCA,OS,0.0943,0.2174,False,,,,,,
BRCA,OS,0.1186,0.2424,True,0.1197,0.2556,0.1293,0.2184,0.0096,0.0011
CESC,OS,0.1309,0.3419,False,,,,,,
COAD,OS,0.1334,0.1064,False,,,,,,
ESCA,OS,0.2058,0.0894,False,0.2169,0.0889,0.2175,0.1013,0.0006,0.0111
GBM,OS,0.0189,0.1212,False,,,,,,
HNSC,OS,0.0781,0.1427,False,,,,,,
KIRC,OS,0.1786,0.257,False,0.1942,0.2575,0.1942,0.2507,0.0,0.0156
LGG,OS,0.0525,0.5059,False,,,,,,
LIHC,OS,0.2004,0.1058,False,,,,,,
LUAD,OS,0.0772,0.1871,False,,,,,,
LUSC,OS,0.099,0.0164,False,0.0981,0.0163,0.1,0.0154,0.0019,-0.0009
MESO,OS,0.2739,0.4082,False,,,,,,
OV,OS,0.1707,0.0243,False,,,,,,
PAAD,OS,0.1645,0.2976,False,,,,,,
SARC,OS,0.0422,0.4148,False,,,,,,
STAD,OS,0.1481,0.0916,False,,,,,,
UCEC,OS,0.1123,0.2058,False,,,,,,
BLCA,PFI,0.0417,0.2573,False,,,,,,
BRCA,PFI,0.0129,0.2052,False,0.0127,0.224,0.016,0.1963,0.0033,-0.0002
CESC,PFI,0.2069,0.2961,False,,,,,,
COAD,PFI,0.0956,0.1237,False,,,,,,
ESCA,PFI,0.2973,0.0471,False,0.294,0.0447,0.2934,0.0391,-0.0006,-0.0033
GBM,PFI,0.0444,0.2324,False,,,,,,
HNSC,PFI,0.0552,0.1111,False,,,,,,
KIRC,PFI,0.0916,0.3813,False,0.094,0.3728,0.1237,0.3292,0.0297,0.0024
KIRP,PFI,0.0339,0.5131,False,,,,,,
LGG,PFI,0.0973,0.3174,False,,,,,,
LIHC,PFI,0.0838,0.15,False,,,,,,
LUAD,PFI,0.0173,0.0999,False,,,,,,
LUSC,PFI,0.0468,0.1096,False,0.0461,0.1,0.0553,0.0663,0.0092,-0.0007
MESO,PFI,0.1565,0.3037,False,,,,,,
OV,PFI,0.0635,0.1386,False,,,,,,
PAAD,PFI,0.0706,0.5018,False,,,,,,
PRAD,PFI,0.0618,0.2684,False,,,,,,
SARC,PFI,0.099,0.4147,False,,,,,,
STAD,PFI,0.1632,0.1477,False,,,,,,
THCA,PFI,0.2635,0.0924,False,,,,,,
UCEC,PFI,0.02,0.251,False,,,,,,
