cohort,endpoint,convergence,ICC_site_ci,ICC_genomic_ci,ICC_residual_ci,sigma_site,hits_A,hits_B,shared,cindex_A,cindex_B,cindex_gap
BLCA,OS,FAIL,"0.094 [0.020,0.198]","0.217 [0.113,0.332]","0.688 [0.573,0.799]",0.42662747091182507,0,0,0,0.627487077816328,0.6128773395643041,-0.0146097382520238
BRCA,OS,FAIL,"0.119 [0.043,0.236]","0.242 [0.105,0.401]","0.639 [0.482,0.785]",0.32528604007180273,0,0,0,0.5989655704801605,0.6004940558900725,0.001528485409912
BRCA,OS,FAIL,"0.119 [0.043,0.236]","0.242 [0.105,0.401]","0.639 [0.482,0.785]",0.32528604007180273,0,0,0,,,
BRCA,OS,FAIL,"0.119 [0.043,0.236]","0.242 [0.105,0.401]","0.639 [0.482,0.785]",0.32528604007180273,0,0,0,,,
CESC,OS,FAIL,"0.131 [0.010,0.311]","0.342 [0.180,0.505]","0.527 [0.357,0.708]",0.5319883238748409,0,0,0,0.639335380169767,0.6472819216182049,0.0079465414484378
COAD,OS,FAIL,"0.133 [0.018,0.293]","0.106 [0.003,0.268]","0.760 [0.551,0.941]",0.5382436647634007,0,0,0,0.5674393279402613,0.5646779713752333,-0.0027613565650279
ESCA,OS,FAIL,"0.206 [0.060,0.403]","0.089 [0.001,0.255]","0.705 [0.471,0.900]",0.5818325261637063,0,0,0,0.4807666886979511,0.489358889623265,0.0085922009253139
ESCA,OS,FAIL,"0.206 [0.060,0.403]","0.089 [0.001,0.255]","0.705 [0.471,0.900]",0.5818325261637063,0,0,0,,,
ESCA,OS,FAIL,"0.206 [0.060,0.403]","0.089 [0.001,0.255]","0.705 [0.471,0.900]",0.5818325261637063,0,0,0,,,
GBM,OS,FAIL,"0.019 [0.000,0.073]","0.121 [0.007,0.253]","0.860 [0.719,0.980]",0.11533413755025862,0,0,0,0.5701129262142309,0.5908343383400942,0.0207214121258633
HNSC,OS,FAIL,"0.078 [0.010,0.188]","0.143 [0.056,0.247]","0.779 [0.653,0.888]",0.39050821789803697,0,0,0,0.5552408339324227,0.5508123652048885,-0.0044284687275342
KIRC,OS,FAIL,"0.179 [0.059,0.353]","0.257 [0.177,0.341]","0.564 [0.421,0.685]",0.652968865849828,0,0,0,0.6765191139818163,0.6646189489942781,-0.0119001649875382
KIRC,OS,FAIL,"0.179 [0.059,0.353]","0.257 [0.177,0.341]","0.564 [0.421,0.685]",0.652968865849828,0,0,0,,,
KIRC,OS,FAIL,"0.179 [0.059,0.353]","0.257 [0.177,0.341]","0.564 [0.421,0.685]",0.652968865849828,0,0,0,,,
LGG,OS,FAIL,"0.052 [0.004,0.136]","0.506 [0.382,0.621]","0.442 [0.335,0.552]",0.23305038978388523,0,0,0,0.8185272818527282,0.8296766329676633,0.011149351114935
LIHC,OS,FAIL,"0.200 [0.082,0.358]","0.106 [0.010,0.228]","0.694 [0.542,0.826]",0.6440162611299136,0,0,0,0.6297560267208829,0.6350929422015684,0.0053369154806854
LUAD,OS,FAIL,"0.077 [0.009,0.177]","0.187 [0.107,0.275]","0.736 [0.622,0.842]",0.3421504166652187,0,0,0,0.609100542038554,0.6210620695276521,0.011961527489098
LUSC,OS,FAIL,"0.099 [0.031,0.194]","0.016 [0.000,0.050]","0.885 [0.789,0.958]",0.45751536864098624,0,0,0,0.5349188843034012,0.5333179166073716,-0.0016009676960295
LUSC,OS,FAIL,"0.099 [0.031,0.194]","0.016 [0.000,0.050]","0.885 [0.789,0.958]",0.45751536864098624,0,0,0,,,
LUSC,OS,FAIL,"0.099 [0.031,0.194]","0.016 [0.000,0.050]","0.885 [0.789,0.958]",0.45751536864098624,0,0,0,,,
MESO,OS,FAIL,"0.274 [0.018,0.561]","0.408 [0.211,0.610]","0.318 [0.163,0.514]",0.5800745931260335,0,0,0,0.6751592356687898,0.7164088565362451,0.0412496208674553
OV,OS,FAIL,"0.171 [0.070,0.327]","0.024 [0.000,0.072]","0.805 [0.655,0.910]",0.4335707245400777,0,0,0,0.530227985935196,0.5189043064009982,-0.0113236795341978
PAAD,OS,FAIL,"0.165 [0.024,0.355]","0.298 [0.133,0.487]","0.538 [0.346,0.727]",0.457016912134424,0,0,0,0.6162318220701454,0.6020102651839179,-0.0142215568862275
SARC,OS,FAIL,"0.042 [0.000,0.143]","0.415 [0.233,0.597]","0.543 [0.369,0.724]",0.24336477785755983,0,0,0,0.6110889243876464,0.6169462193823216,0.0058572949946752
STAD,OS,FAIL,"0.148 [0.020,0.345]","0.092 [0.012,0.193]","0.760 [0.573,0.913]",0.5142077716198354,0,0,0,0.5653277301751897,0.5589696010478633,-0.0063581291273263
UCEC,OS,FAIL,"0.112 [0.016,0.248]","0.206 [0.109,0.318]","0.682 [0.557,0.797]",0.40941007873118235,1,1,1,0.6556632757561275,0.6605106847818666,0.0048474090257391
BLCA,PFI,FAIL,"0.042 [0.001,0.117]","0.257 [0.152,0.371]","0.701 [0.585,0.812]",0.2793695951979963,0,0,0,0.5936899992888804,0.5939507431199185,0.000260743831038
BRCA,PFI,FAIL,"0.013 [0.000,0.049]","0.205 [0.080,0.345]","0.782 [0.640,0.909]",0.10866891937436428,0,0,0,0.6301821509608996,0.6157028419561483,-0.0144793090047512
BRCA,PFI,FAIL,"0.013 [0.000,0.049]","0.205 [0.080,0.345]","0.782 [0.640,0.909]",0.10866891937436428,0,0,0,,,
BRCA,PFI,FAIL,"0.013 [0.000,0.049]","0.205 [0.080,0.345]","0.782 [0.640,0.909]",0.10866891937436428,0,0,0,,,
CESC,PFI,FAIL,"0.207 [0.057,0.399]","0.296 [0.148,0.455]","0.497 [0.329,0.671]",0.8534103052824535,0,0,0,0.6601218686526743,0.6627548333709471,0.0026329647182727
COAD,PFI,FAIL,"0.096 [0.004,0.260]","0.124 [0.014,0.259]","0.781 [0.602,0.938]",0.4484394563089368,0,0,0,0.5500745564651106,0.5526307781260461,0.0025562216609354
ESCA,PFI,FAIL,"0.297 [0.133,0.502]","0.047 [0.000,0.145]","0.656 [0.451,0.834]",0.7564172440370656,0,0,0,0.4639680729760547,0.4882554161915621,0.0242873432155074
ESCA,PFI,FAIL,"0.297 [0.133,0.502]","0.047 [0.000,0.145]","0.656 [0.451,0.834]",0.7564172440370656,0,0,0,,,
ESCA,PFI,FAIL,"0.297 [0.133,0.502]","0.047 [0.000,0.145]","0.656 [0.451,0.834]",0.7564172440370656,0,0,0,,,
GBM,PFI,FAIL,"0.044 [0.000,0.145]","0.232 [0.116,0.373]","0.723 [0.576,0.849]",0.2093319325435453,1,1,1,0.6249346302688004,0.6177178119443573,-0.007216818324443
HNSC,PFI,FAIL,"0.055 [0.002,0.144]","0.111 [0.036,0.194]","0.834 [0.728,0.926]",0.34302173958744164,0,0,0,0.561048260921892,0.5712630882175954,0.0102148272957034
KIRC,PFI,FAIL,"0.092 [0.022,0.205]","0.381 [0.273,0.493]","0.527 [0.418,0.643]",0.6034280332345612,0,1,0,0.7071030539875525,0.7022543059777102,-0.0048487480098422
KIRC,PFI,FAIL,"0.092 [0.022,0.205]","0.381 [0.273,0.493]","0.527 [0.418,0.643]",0.6034280332345612,0,1,0,,,
KIRC,PFI,FAIL,"0.092 [0.022,0.205]","0.381 [0.273,0.493]","0.527 [0.418,0.643]",0.6034280332345612,0,1,0,,,
KIRP,PFI,FAIL,"0.034 [0.000,0.118]","0.513 [0.351,0.673]","0.453 [0.303,0.608]",0.27000030107559087,0,0,0,0.773283251468747,0.8007319657131851,0.027448714244438
LGG,PFI,FAIL,"0.097 [0.033,0.191]","0.317 [0.234,0.403]","0.585 [0.498,0.667]",0.3844959139824926,0,0,0,0.7186558427850385,0.7223213771662157,0.0036655343811772
LIHC,PFI,FAIL,"0.084 [0.013,0.193]","0.150 [0.057,0.258]","0.766 [0.652,0.867]",0.38227688542308397,0,0,0,0.6064308506286307,0.6053126789756457,-0.001118171652985
LUAD,PFI,FAIL,"0.017 [0.000,0.060]","0.100 [0.025,0.194]","0.883 [0.785,0.966]",0.14251830342577035,0,0,0,0.5467786735316036,0.5457794187385678,-0.0009992547930357
LUSC,PFI,FAIL,"0.047 [0.002,0.127]","0.110 [0.023,0.207]","0.844 [0.731,0.943]",0.27490992503575223,0,0,0,0.5644656090045583,0.5714940538338129,0.0070284448292545
LUSC,PFI,FAIL,"0.047 [0.002,0.127]","0.110 [0.023,0.207]","0.844 [0.731,0.943]",0.27490992503575223,0,0,0,,,
LUSC,PFI,FAIL,"0.047 [0.002,0.127]","0.110 [0.023,0.207]","0.844 [0.731,0.943]",0.27490992503575223,0,0,0,,,
MESO,PFI,FAIL,"0.157 [0.014,0.375]","0.304 [0.127,0.488]","0.540 [0.333,0.743]",0.44444976238996553,0,0,0,0.6275229357798165,0.6557798165137615,0.0282568807339449
OV,PFI,FAIL,"0.063 [0.016,0.141]","0.139 [0.055,0.226]","0.798 [0.690,0.894]",0.267897862214588,0,0,0,0.5447177864096293,0.5453571828194185,0.0006393964097891
PAAD,PFI,FAIL,"0.071 [0.001,0.199]","0.502 [0.329,0.663]","0.428 [0.276,0.587]",0.27360733657521097,1,1,1,0.6258674444332696,0.6185255958966107,-0.0073418485366588
PRAD,PFI,FAIL,"0.062 [0.001,0.185]","0.268 [0.146,0.394]","0.670 [0.530,0.801]",0.30024306926823363,0,0,0,0.6586494661273278,0.6655369702270325,0.0068875040997047
SARC,PFI,FAIL,"0.099 [0.012,0.234]","0.415 [0.224,0.583]","0.486 [0.311,0.683]",0.5288870532227099,0,0,0,0.5698680221152131,0.5662118780096308,-0.0036561441055823
STAD,PFI,FAIL,"0.163 [0.036,0.346]","0.148 [0.050,0.261]","0.689 [0.522,0.836]",0.546981109411768,0,0,0,0.5747059205823097,0.5673945538441542,-0.0073113667381555
THCA,PFI,FAIL,"0.264 [0.080,0.489]","0.092 [0.001,0.246]","0.644 [0.439,0.836]",0.911253459481501,0,0,0,0.6102805763189254,0.614451305384032,0.0041707290651066
UCEC,PFI,FAIL,"0.020 [0.000,0.072]","0.251 [0.132,0.372]","0.729 [0.611,0.846]",0.17147611053852363,0,0,0,0.6194505094614265,0.6193367903930131,-0.0001137190684133
